Breed,AgeInMonths,Size,Sterilized,Health,Temperament,GoodWithChildren,GoodWithOtherPets,PhotoCount,DescriptionLength,AdoptionSpeed
Poodle,103,Tiny,No,Healthy,"Calm, Independent, Playful",Yes,No,3,368,2
Poodle,15,XL,No,Healthy,"Shy, Affectionate, Anxious",Yes,Yes,2,91,2
Bulldog,61,XL,No,Healthy,"Friendly, Anxious, Playful",Yes,Yes,4,122,3
Golden Retriever,83,Medium,No,Healthy,"Independent, Playful, Anxious",Yes,Yes,2,478,3
Beagle,88,XL,No,Minor Injury,"Affectionate, Friendly, Playful",No,Yes,4,119,2
Husky,104,Medium,No,Healthy,"Shy, Playful, Independent",Yes,Yes,2,169,1
Poodle,53,Small,Yes,Healthy,"Affectionate, Independent, Calm",Yes,Yes,1,363,3
Mixed,108,Tiny,Yes,Healthy,"Aggressive, Shy, Affectionate",Yes,No,5,313,1
Husky,2,Small,No,Minor Injury,"Playful, Shy, Affectionate",No,Yes,3,296,3
Poodle,33,Small,No,Healthy,"Affectionate, Aggressive, Independent",Yes,Yes,3,333,3
Bulldog,22,XL,No,Minor Injury,"Anxious, Friendly, Aggressive",Yes,No,4,255,1
German Shepherd,89,XL,No,Healthy,"Playful, Anxious, Affectionate",Yes,Yes,0,494,3
Golden Retriever,59,XL,Yes,Healthy,"Affectionate, Friendly, Calm",No,No,1,495,2
Labrador,60,Tiny,No,Minor Injury,"Independent, Playful, Calm",Yes,Yes,5,465,4
Mixed,47,XL,Yes,Healthy,"Shy, Anxious, Independent",Yes,Yes,5,70,3
Bulldog,108,Small,No,Minor Injury,"Playful, Friendly, Calm",Yes,Yes,3,339,3
Beagle,3,Medium,Yes,Healthy,"Shy, Playful, Independent",Yes,Yes,4,326,4
Husky,7,Small,Yes,Healthy,"Calm, Affectionate, Friendly",No,Yes,4,348,4
Bulldog,39,XL,Yes,Minor Injury,"Anxious, Independent, Affectionate",Yes,No,1,407,2
Australian Shepherd,89,Tiny,Yes,Healthy,"Independent, Playful, Friendly",Yes,Yes,3,33,3
Labrador,114,Tiny,Yes,Healthy,"Playful, Anxious, Calm",Yes,Yes,1,284,1
Australian Shepherd,90,Small,Yes,Minor Injury,"Affectionate, Shy, Aggressive",No,Yes,4,405,2
Poodle,84,Large,No,Healthy,"Affectionate, Anxious, Independent",Yes,Yes,3,386,4
Poodle,60,Tiny,No,Minor Injury,"Shy, Affectionate, Anxious",Yes,Yes,3,283,3
Golden Retriever,47,Small,No,Healthy,"Shy, Aggressive, Friendly",Yes,Yes,2,225,1
Husky,81,Tiny,Yes,Serious Injury,"Aggressive, Shy, Affectionate",Yes,Yes,3,69,0
